Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Maturity,Market Currency
AAPL,APPLE INC,Information Technology,Equity,"1,357,018,250.00",5.76,"1,357,018,250.00","3,101,756.00",37833100,US0378331005,2046251,437.5,United States,NASDAQ,USD,1,-,USD
MSFT,MICROSOFT CORP,Information Technology,Equity,"1,154,937,056.70",4.9,"1,154,937,056.70","5,678,715.00",594918104,US5949181045,2588173,203.38,United States,NASDAQ,USD,1,-,USD
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"990,567,873.81",4.2,"990,567,873.81","321,543.00",23135106,US0231351067,2000019,"3,080.67",United States,NASDAQ,USD,1,-,USD
FB,FACEBOOK CLASS A INC,Communication,Equity,"466,564,871.22",1.98,"466,564,871.22","1,821,594.00",30303M102,US30303M1027,B7TL820,256.13,United States,NASDAQ,USD,1,-,USD
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"337,113,035.84",1.43,"337,113,035.84","227,696.00",02079K305,US02079K3059,BYVY8G0,"1,480.54",United States,NASDAQ,USD,1,-,USD
GOOG,ALPHABET INC CLASS C,Communication,Equity,"332,693,038.08",1.41,"332,693,038.08","224,744.00",02079K107,US02079K1079,BYY88Y7,"1,480.32",United States,NASDAQ,USD,1,-,USD
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"314,418,022.66",1.33,"314,418,022.66","1,478,501.00",84670702,US0846707026,2073390,212.66,United States,New York Stock Exchange Inc.,USD,1,-,USD
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"293,902,228.71",1.25,"293,902,228.71","1,999,743.00",478160104,US4781601046,2475833,146.97,United States,New York Stock Exchange Inc.,USD,1,-,USD
V,VISA INC CLASS A,Information Technology,Equity,"253,417,335.98",1.07,"253,417,335.98","1,281,374.00",92826C839,US92826C8394,B2PZN04,197.77,United States,New York Stock Exchange Inc.,USD,1,-,USD
PG,PROCTER & GAMBLE,Consumer Staples,Equity,"246,237,284.76",1.04,"246,237,284.76","1,848,212.00",742718109,US7427181091,2704407,133.23,United States,New York Stock Exchange Inc.,USD,1,-,USD
JPM,JPMORGAN CHASE & CO,Financials,Equity,"238,655,705.90",1.01,"238,655,705.90","2,298,745.00",46625H100,US46625H1005,2190385,103.82,United States,New York Stock Exchange Inc.,USD,1,-,USD
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"226,058,757.80",0.96,"226,058,757.80","716,396.00",91324P102,US91324P1021,2917766,315.55,United States,New York Stock Exchange Inc.,USD,1,-,USD
HD,HOME DEPOT INC,Consumer Discretionary,Equity,"224,027,359.44",0.95,"224,027,359.44","814,882.00",437076102,US4370761029,2434209,274.92,United States,New York Stock Exchange Inc.,USD,1,-,USD
MA,MASTERCARD INC CLASS A,Information Technology,Equity,"219,906,277.76",0.93,"219,906,277.76","669,344.00",57636Q104,US57636Q1040,B121557,328.54,United States,New York Stock Exchange Inc.,USD,1,-,USD
NVDA,NVIDIA CORP,Information Technology,Equity,"194,453,700.00",0.82,"194,453,700.00","448,050.00",67066G104,US67066G1040,2379504,434,United States,NASDAQ,USD,1,-,USD
VZ,VERIZON COMMUNICATIONS INC,Communication,Equity,"183,845,616.73",0.78,"183,845,616.73","3,142,123.00",92343V104,US92343V1044,2090571,58.51,United States,New York Stock Exchange Inc.,USD,1,-,USD
DIS,WALT DISNEY,Communication,Equity,"178,863,686.92",0.76,"178,863,686.92","1,370,708.00",254687106,US2546871060,2270726,130.49,United States,New York Stock Exchange Inc.,USD,1,-,USD
